Individual,Learning Rate,Batch Size,Initial Loss
1,0.003611662782147248,16,0.782958634038937
2,0.00925128369569934,32,0.2442290898103781
3,7.813452073384151e-05,16,5.034995249332364
4,0.005090939660799937,16,0.7246189351254242
5,0.0023012831087955107,16,0.9578745486209495
6,1.3157969572072436e-05,32,8.537365874218704
7,8.524002601017216e-05,16,4.92369666041165
8,0.0017578436794457282,128,1.6084265566984162
9,7.616623496534349e-05,64,4.463456437257561
10,0.017287087360389246,16,0.6461396690742587
11,0.010844997806721731,32,0.22807023081151295
12,0.006202368709072582,64,0.019745869956481546
13,0.00012926631445000887,32,3.8285856338172706
14,0.06742986478915486,64,0.5913321044610736
15,2.5635459486370445e-05,128,7.627858521918203
16,2.437055992027978e-05,64,6.800357500299497
17,0.0025995856171946224,16,0.8541956263781546
18,0.008297115711018953,16,0.5847851741597621
19,0.07806620288194395,128,1.7510891024015107
20,2.0663352873211952e-05,64,7.137531600525505
