Gen 00 — Best x=4, fitness=0.000
Gen 01 — Best x=8, fitness=-16.000
Gen 02 — Best x=6, fitness=-4.000
Gen 03 — Best x=6, fitness=-4.000
Gen 04 — Best x=6, fitness=-4.000
Gen 05 — Best x=4, fitness=0.000
Gen 06 — Best x=4, fitness=0.000
Gen 07 — Best x=4, fitness=0.000
Gen 08 — Best x=6, fitness=-4.000
Gen 09 — Best x=-7, fitness=-121.000
Gen 10 — Best x=4, fitness=0.000
Gen 11 — Best x=7, fitness=-9.000
Gen 12 — Best x=-5, fitness=-81.000
Gen 13 — Best x=-4, fitness=-64.000
Gen 14 — Best x=-9, fitness=-169.000
Gen 15 — Best x=1, fitness=-9.000
Gen 16 — Best x=-9, fitness=-169.000
Gen 17 — Best x=-3, fitness=-49.000
Gen 18 — Best x=0, fitness=-16.000
Gen 19 — Best x=-2, fitness=-36.000
Gen 20 — Best x=7, fitness=-9.000
Gen 21 — Best x=3, fitness=-1.000
Gen 22 — Best x=-6, fitness=-100.000
Gen 23 — Best x=5, fitness=-1.000
Gen 24 — Best x=4, fitness=0.000
